"id","name","email","password","designation","roles"
1,"John Doe","john.doe@example.com","$2b$10$WOdBTd.KK25zaZtIMY.Fueh7vpYNHcrXkGlOgVlq4viZpUdEndp4y","Software_Engineer","User"
2,"Noah Reed","noah.reed@example.com","$2b$10$dNyYQBpHVrE7UzKhEqnv9ODYcG9so4WuIX25GKl2dyRaeQvcotugm","Devops_Engineer","User"
3,"Jack King","jack.king@example.com","$2b$10$0Ava08O6Z/XWtAjztvE1tuQ10d/Mr0.iS6blylgOOsW.8fu0XyQI.","Data_Analyst","Admin"
4,"Ryan Mitchell","ryan.mitchell@example.com","$2b$10$F65r9DNmmbT4D.c8bX8DFuyx02wLWr9MTh.YKji4nqsqPb8rzHiG2","Software_Engineer","User"
5,"Kate White","kate.white@example.com","$2b$10$yrB1XVWQpWjG/jL48974J.0RaUi0kulmLcK.nLXjaMnP31HvdQ/Pa","Devops_Engineer","User"
6,"Leo Brooks","leo.brooks@example.com","$2b$10$zIo0FF47ZmgnrW2yra/8KOdWZ.ZIp15ZOk9lk031GIRz8iEZn6lnO","Software_Engineer","User"
7,"Olivia Clark","olivia.clark@example.com","$2b$10$pjOzCZxcSNVORBSYTjFqn.X8vm6MsQ6CnxgjFHOELZEQQjel3sahC","Software_Engineer","User"
8,"Frank Harris","frank.harris@example.com","$2b$10$bevmo6e1FC0sLiHn8QIZMunAWAaqs6sNqPHykNGbSB7Hj7UicbKwy","Software_Engineer","User"
9,"Jane Smith","jane.smith@example.com","$2b$10$Cc0vEeOMAWUIKvUbKUdgDeuY.lBhIT.dgaUn12UzXGz1Dz98c.v6m","Data_Analyst","Admin"
10,"Ivy Walker","ivy.walker@example.com","$2b$10$79W1nauvdFfJDkG.cuSSR.y8AHnhDMXXmG8lwI6AiZ9GI0D9O/Tyu","Software_Engineer","User"
11,"Alice Johnson","alice.johnson@example.com","$2b$10$.Lib6nHIue5QEHb8WZfYHOtp6C1/j/mSa5jM2Hh8K7QH6QmItK0Wu","Devops_Engineer","User"
12,"Quinn Taylor","quinn.taylor@example.com","$2b$10$w.b0MaMkHwdco/VxrcWQYuKuC7cD1lIDT7Oo9/V.aP6ymXx7dOwHG","Devops_Engineer","User"
14,"Henry Adams","henry.adams@example.com","$2b$10$8416Ufl96dBb8efuDJj9SeliVczgr2lfE3TaawGucDeZRsFzbYdly","Devops_Engineer","User"
15,"Charlie Davis","charlie.davis@example.com","$2b$10$A9No7NikNj29re67pe5UUeAueHL2G7nBs5SUEHTs6Yf/4WePLa/wK","Data_Analyst","Admin"
16,"Bob Brown","bob.brown@example.com","$2b$10$sY19UTqKVp0qJGDFm4fgB.0i0uufb6diC5CK1cE/cHCbW5jv2YPf6","Software_Engineer","User"
13,"Paul Young","paul.young@example.com","$2b$10$ei6/7A3Gktj/ELu2hOAcM..IMGKHX3pukSGsdVXBlk.1CqYXzPyk2","Data_Analyst","Admin"
18,"Mia Scott","mia.scott@example.com","$2b$10$1ZhBb4iBwORgq9NFvoGXcet6LHNcO5pEn5TAvgsGmtUQ1L1ioVK.O","Data_Analyst","Admin"
19,"Eva Green","eva.green@example.com","$2b$10$TQ9YxGQkNo.INyxVNlQcTuQyk4D.Ql3T9vjsJ/70z.YaLYZwQBX2.","Devops_Engineer","User"
17,"Grace Lee","grace.lee@example.com","$2b$10$QbWDpr8YQTTykwf3glusa.0Hi72uMeWhp/WESTLbKystBYWjOd9Wy","Data_Analyst","Admin"
